unknown_device,open_port_count,critical_cve_count,patch_status,os_outdated,sensitive_network_access,risk
No,8,1,Outdated,1,No,Low
No,8,0,Outdated,1,No,Low
No,3,2,Updated,1,Yes,Low
No,4,2,Updated,0,Yes,Low
Yes,4,2,Updated,0,Yes,Low
Yes,14,5,Outdated,1,Yes,High
No,7,4,Updated,1,No,Medium
Yes,18,4,Outdated,1,No,Critical
Yes,8,4,Outdated,1,Yes,Critical
Yes,13,10,Outdated,1,Yes,Critical
Yes,3,1,Updated,1,No,Low
Yes,15,9,Outdated,1,Yes,Critical
No,5,1,Updated,0,No,Medium
Yes,8,3,Outdated,1,No,High
No,1,2,Updated,1,Yes,Low
Yes,29,6,Outdated,1,Yes,Critical
Yes,8,1,Updated,0,Yes,Medium
Yes,21,4,Outdated,1,Yes,Critical
Yes,7,3,Updated,0,Yes,Medium
Yes,4,0,Outdated,0,No,Medium
Yes,16,6,Outdated,1,Yes,High
Yes,6,2,Updated,0,No,Low
Yes,30,5,Outdated,1,Yes,Critical
Yes,6,5,Updated,1,Yes,High
Yes,24,9,Outdated,1,Yes,Critical
Yes,8,5,Outdated,0,Yes,High
Yes,13,6,Outdated,1,No,High
Yes,30,9,Outdated,1,Yes,Critical
Yes,15,3,Outdated,0,No,High
Yes,4,2,Updated,0,No,Medium
Yes,7,5,Outdated,1,Yes,High
No,11,3,Updated,0,No,Medium
No,3,2,Updated,0,No,Medium
No,10,3,Updated,1,No,Medium
No,3,0,Outdated,0,Yes,Medium
No,8,1,Outdated,0,No,Low
Yes,18,3,Outdated,1,No,Critical
No,12,3,Updated,0,Yes,Medium
No,3,3,Updated,1,Yes,Medium
No,2,0,Updated,0,No,Medium
Yes,12,0,Outdated,0,No,Medium
Yes,8,5,Outdated,1,Yes,Critical
Yes,11,4,Updated,1,Yes,High
No,10,2,Updated,1,No,Medium
Yes,19,2,Outdated,0,Yes,High
No,5,1,Updated,0,Yes,Medium
Yes,11,5,Updated,1,Yes,High
Yes,8,6,Outdated,1,Yes,Critical
No,4,1,Updated,0,Yes,Low
Yes,6,1,Updated,1,No,Medium
Yes,4,1,Outdated,0,No,Medium
Yes,30,6,Outdated,1,Yes,Critical
Yes,14,3,Updated,1,No,High
Yes,30,4,Outdated,1,No,Critical
Yes,8,9,Outdated,1,Yes,Critical
Yes,12,3,Updated,0,No,High
Yes,0,2,Outdated,1,No,Low
No,0,1,Outdated,1,No,Low
Yes,4,1,Updated,0,No,Medium
Yes,4,4,Updated,0,No,Medium
Yes,7,0,Updated,0,Yes,Low
Yes,6,4,Outdated,1,Yes,High
No,1,1,Updated,1,No,Low
No,4,1,Updated,0,No,Low
Yes,19,5,Outdated,0,Yes,High
Yes,16,2,Updated,1,Yes,High
Yes,10,6,Updated,1,Yes,High
Yes,11,10,Outdated,1,Yes,Critical
Yes,12,3,Updated,0,Yes,High
Yes,8,0,Updated,0,Yes,Low
Yes,17,8,Outdated,1,Yes,Critical
No,10,1,Outdated,1,Yes,Medium
Yes,26,3,Outdated,1,No,Critical
Yes,3,2,Updated,1,No,Low
No,6,0,Outdated,0,No,Low
No,19,8,Outdated,1,Yes,Critical
No,19,9,Outdated,1,Yes,Critical
Yes,15,1,Outdated,1,No,High
No,12,0,Updated,0,No,Medium
Yes,7,5,Updated,1,No,High
No,4,1,Outdated,0,Yes,Low
Yes,25,3,Outdated,1,Yes,Critical
Yes,15,5,Outdated,0,Yes,High
No,12,2,Outdated,1,No,Medium
Yes,9,4,Outdated,0,No,High
Yes,23,3,Outdated,1,No,Critical
No,0,0,Outdated,0,No,Low
Yes,10,4,Outdated,1,Yes,Critical
No,4,0,Updated,0,No,Low
Yes,6,3,Updated,1,Yes,High
No,9,2,Updated,1,No,Medium
Yes,13,3,Outdated,1,No,Critical
Yes,6,1,Outdated,0,Yes,High
Yes,11,0,Updated,1,No,Medium
Yes,20,8,Outdated,1,Yes,Critical
Yes,5,2,Outdated,0,No,Medium
Yes,7,5,Outdated,1,No,High
No,8,0,Updated,1,No,Low
No,2,1,Updated,0,No,Low
Yes,1,0,Updated,1,Yes,Low
Yes,12,8,Outdated,1,Yes,Critical
Yes,0,1,Updated,1,No,Low
Yes,6,1,Outdated,0,Yes,Medium
No,3,1,Updated,0,No,Low
Yes,8,0,Outdated,0,No,Low
Yes,17,5,Outdated,1,No,High
Yes,15,4,Outdated,1,Yes,Critical
Yes,11,4,Outdated,0,No,Medium
No,4,2,Updated,1,No,Low
No,2,4,Outdated,1,No,Medium
No,5,0,Outdated,0,No,Low
No,1,2,Updated,0,No,Low
Yes,12,2,Updated,1,Yes,Medium
Yes,4,0,Updated,0,No,Low
Yes,28,6,Outdated,1,No,Critical
Yes,28,8,Outdated,1,Yes,Critical
Yes,30,8,Outdated,1,Yes,Critical
No,7,1,Updated,1,Yes,Medium
Yes,3,0,Updated,1,No,Medium
No,13,5,Updated,1,Yes,High
Yes,22,8,Outdated,1,Yes,Critical
Yes,8,6,Outdated,1,No,Critical
No,8,1,Updated,0,No,Low
Yes,17,5,Updated,0,Yes,High
No,4,0,Outdated,0,Yes,Medium
Yes,5,0,Updated,0,Yes,Low
No,12,1,Updated,1,No,Medium
Yes,3,2,Outdated,1,No,Medium
Yes,19,7,Outdated,1,No,Critical
Yes,23,7,Outdated,1,Yes,Critical
No,9,0,Updated,0,No,Medium
Yes,9,2,Outdated,1,No,High
Yes,10,1,Outdated,0,No,Medium
No,7,1,Updated,0,No,Medium
No,7,0,Updated,0,Yes,Low
Yes,17,9,Outdated,1,Yes,Critical
Yes,6,0,Updated,0,Yes,Medium
Yes,4,6,Updated,0,Yes,High
No,2,2,Updated,0,No,Low
No,2,0,Outdated,1,No,Low
Yes,10,2,Outdated,0,No,High
No,8,2,Updated,1,No,Low
Yes,25,7,Outdated,1,No,Critical
No,7,1,Outdated,1,No,High
Yes,26,8,Outdated,1,Yes,Critical
No,8,2,Outdated,0,Yes,Low
Yes,6,0,Updated,0,No,Medium
Yes,5,1,Updated,0,Yes,Low
No,10,3,Updated,1,No,High
No,12,0,Updated,0,Yes,Medium
Yes,11,1,Outdated,0,No,Medium
Yes,1,0,Outdated,0,No,Low
Yes,9,3,Outdated,1,Yes,Critical
Yes,24,10,Outdated,1,Yes,Critical
Yes,16,8,Outdated,1,Yes,Critical
Yes,20,1,Outdated,0,No,High
Yes,2,4,Updated,0,Yes,Medium
No,7,2,Updated,0,Yes,Medium
No,8,3,Updated,1,Yes,Medium
Yes,17,6,Outdated,1,Yes,Critical
Yes,5,3,Updated,0,No,Medium
Yes,1,1,Updated,0,No,Low
Yes,6,2,Updated,0,Yes,Low
Yes,19,5,Updated,1,No,High
Yes,5,0,Updated,0,No,Medium
Yes,10,3,Updated,1,Yes,Medium
No,2,4,Updated,0,No,Medium
Yes,8,7,Outdated,1,Yes,Critical
Yes,22,5,Outdated,1,Yes,Critical
No,8,3,Updated,0,Yes,Medium
Yes,10,3,Outdated,1,No,High
Yes,10,6,Outdated,1,Yes,Critical
Yes,20,4,Updated,1,Yes,High
Yes,5,3,Updated,1,No,High
No,5,3,Updated,0,Yes,High
Yes,14,2,Outdated,1,Yes,High
Yes,20,5,Outdated,1,Yes,High
Yes,12,3,Updated,0,No,Medium
No,9,4,Updated,0,Yes,Medium
Yes,5,0,Outdated,0,No,Low
Yes,11,2,Updated,1,No,Medium
Yes,17,5,Updated,1,No,High
Yes,2,0,Updated,0,Yes,Low
No,8,1,Updated,1,No,Low
Yes,0,2,Updated,0,No,Low
Yes,8,0,Updated,0,Yes,Medium
No,10,4,Outdated,1,Yes,High
Yes,30,4,Outdated,1,Yes,Critical
Yes,16,6,Outdated,1,No,High
No,4,2,Updated,0,No,Medium
Yes,8,4,Outdated,0,No,Medium
Yes,16,3,Outdated,1,No,High
No,5,1,Updated,0,Yes,Low
Yes,13,5,Updated,0,Yes,High
No,2,3,Updated,1,Yes,Medium
Yes,12,2,Outdated,1,No,High
Yes,5,5,Updated,0,No,High
No,0,2,Updated,0,No,Low
No,11,2,Updated,0,Yes,Medium
Yes,7,3,Outdated,1,No,High
Yes,14,2,Updated,0,Yes,High
No,26,9,Outdated,1,Yes,Critical
Yes,18,5,Outdated,1,Yes,High
No,7,0,Outdated,1,Yes,Medium
No,7,4,Outdated,0,No,Medium
Yes,0,2,Outdated,0,No,Low
Yes,1,0,Updated,0,No,Low
No,6,3,Updated,0,No,Medium
Yes,8,2,Updated,1,Yes,Medium
Yes,20,6,Updated,1,Yes,High
No,25,10,Outdated,1,No,Critical
Yes,2,0,Updated,0,No,Low
Yes,20,6,Outdated,1,Yes,Critical
No,8,2,Updated,1,Yes,Low
No,3,2,Outdated,0,No,Medium
Yes,16,3,Outdated,1,Yes,Critical
No,5,2,Updated,0,No,Low
No,5,2,Outdated,0,No,Medium
No,3,2,Outdated,0,Yes,Low
No,4,4,Updated,0,Yes,Medium
No,12,3,Updated,0,No,Medium
No,4,1,Updated,0,Yes,Medium
No,6,2,Outdated,0,Yes,Low
Yes,2,3,Updated,1,No,Medium
Yes,12,6,Updated,0,No,High
Yes,3,2,Updated,0,Yes,Low
No,10,3,Updated,0,No,Medium
No,4,2,Outdated,0,Yes,Low
No,1,2,Updated,0,Yes,Low
Yes,26,10,Outdated,1,Yes,Critical
No,1,0,Outdated,1,No,Low
Yes,4,2,Updated,0,Yes,Medium
Yes,9,5,Outdated,1,Yes,Critical
Yes,2,1,Updated,0,No,Low
Yes,16,6,Updated,1,Yes,High
No,8,1,Outdated,0,Yes,Low
No,5,2,Outdated,0,Yes,Low
No,1,0,Updated,0,Yes,Low
No,9,1,Outdated,1,No,High
Yes,8,1,Updated,0,No,Medium
No,1,2,Updated,1,No,Low
Yes,27,10,Outdated,1,Yes,Critical
Yes,12,9,Outdated,1,Yes,Critical
No,6,0,Updated,1,Yes,Low
No,3,0,Outdated,1,No,Low
Yes,17,10,Outdated,1,Yes,Critical
Yes,7,0,Updated,1,No,Low
Yes,2,1,Outdated,1,No,Low
Yes,12,9,Outdated,1,No,Critical
Yes,5,1,Outdated,0,Yes,High
No,2,0,Updated,0,Yes,Low
Yes,17,7,Outdated,1,Yes,Critical
Yes,27,5,Outdated,1,Yes,Critical
Yes,8,2,Updated,1,No,Low
No,0,2,Outdated,0,No,Low
Yes,16,5,Outdated,1,Yes,High
No,8,2,Outdated,0,No,Low
Yes,5,2,Updated,0,Yes,High
Yes,1,2,Updated,0,No,Low
No,7,1,Outdated,1,Yes,Medium
No,9,3,Updated,0,Yes,Medium
Yes,20,8,Outdated,1,No,Critical
Yes,25,10,Outdated,1,No,Critical
No,1,1,Updated,0,No,Low
No,6,4,Updated,0,Yes,Medium
Yes,17,2,Updated,0,Yes,High
Yes,19,2,Outdated,1,Yes,High
No,9,4,Outdated,0,Yes,High
Yes,12,6,Outdated,0,No,High
Yes,28,4,Outdated,1,Yes,Critical
Yes,6,2,Updated,0,No,Medium
No,5,1,Outdated,0,No,Low
Yes,10,1,Outdated,1,Yes,High
No,17,4,Updated,1,No,High
Yes,25,4,Outdated,1,Yes,Critical
Yes,13,9,Outdated,1,Yes,Critical
No,10,0,Updated,1,Yes,Medium
Yes,13,4,Outdated,1,Yes,Critical
Yes,7,1,Outdated,0,Yes,High
Yes,18,6,Outdated,0,No,High
Yes,21,10,Outdated,1,No,Critical
Yes,13,4,Outdated,0,Yes,High
Yes,6,4,Updated,1,No,Medium
No,8,2,Updated,0,No,Low
Yes,16,2,Outdated,0,Yes,High
Yes,8,3,Updated,0,No,Medium
Yes,15,2,Outdated,0,Yes,High
No,7,0,Outdated,0,No,Medium
No,2,0,Outdated,0,No,Medium
No,4,0,Updated,1,No,Low
No,1,1,Outdated,0,No,Low
Yes,20,3,Outdated,0,Yes,High
Yes,6,3,Outdated,0,No,Medium
Yes,4,3,Updated,0,No,Medium
No,10,2,Outdated,0,No,Medium
No,9,1,Updated,1,No,Medium
No,4,1,Updated,0,No,Medium
Yes,9,3,Updated,0,No,Medium
No,5,0,Updated,0,Yes,Low
Yes,6,1,Updated,1,No,Low
No,9,4,Updated,1,No,Medium
Yes,28,6,Outdated,1,Yes,Critical
No,9,3,Updated,1,Yes,High
Yes,5,0,Updated,1,Yes,Low
No,19,4,Updated,0,Yes,High
Yes,16,10,Outdated,1,No,Critical
No,9,2,Outdated,0,No,High
Yes,12,4,Outdated,1,No,High
Yes,19,4,Updated,1,No,High
Yes,16,4,Updated,0,Yes,High
No,5,2,Updated,1,Yes,Low
No,8,2,Updated,0,Yes,High
No,4,4,Outdated,1,Yes,High
Yes,11,3,Outdated,1,Yes,High
Yes,25,6,Outdated,1,Yes,Critical
Yes,5,4,Outdated,0,No,Medium
Yes,0,2,Updated,0,Yes,Low
Yes,6,1,Updated,0,Yes,Low
Yes,6,1,Updated,1,Yes,High
Yes,18,6,Outdated,1,Yes,Critical
Yes,12,3,Outdated,0,Yes,High
Yes,4,4,Updated,1,Yes,Medium
Yes,3,3,Outdated,0,No,Medium
No,2,0,Outdated,0,No,Low
Yes,6,0,Outdated,0,No,Low
Yes,6,1,Outdated,1,Yes,High
Yes,8,10,Outdated,1,Yes,Critical
No,2,2,Updated,1,No,Medium
No,6,2,Updated,1,Yes,Low
No,2,2,Outdated,1,No,Low
Yes,5,2,Outdated,1,Yes,Medium
Yes,18,4,Updated,1,Yes,High
No,5,4,Updated,0,No,Medium
No,2,2,Updated,0,Yes,Medium
Yes,2,1,Updated,1,No,Low
Yes,18,10,Outdated,1,Yes,Critical
No,6,0,Updated,1,No,Low
Yes,2,3,Updated,0,No,Medium
Yes,8,10,Outdated,1,No,Critical
Yes,19,8,Outdated,1,Yes,Critical
Yes,18,5,Outdated,1,Yes,Critical
Yes,8,1,Updated,1,No,High
No,9,5,Updated,0,Yes,High
Yes,9,1,Updated,1,Yes,High
Yes,5,0,Updated,1,No,Low
No,0,1,Updated,0,Yes,Low
No,11,2,Updated,0,No,Medium
No,18,1,Updated,1,No,High
No,1,2,Outdated,0,No,Low
No,3,1,Updated,1,Yes,Low
No,2,0,Updated,1,No,Medium
No,4,1,Updated,1,Yes,Low
No,11,4,Updated,0,No,Medium
Yes,24,6,Outdated,1,No,Critical
Yes,12,1,Outdated,0,Yes,High
Yes,9,10,Outdated,1,Yes,Critical
No,1,2,Outdated,1,No,Low
No,6,3,Outdated,0,No,Medium
No,6,2,Updated,0,Yes,Low
Yes,2,1,Updated,0,No,Medium
No,3,2,Updated,1,No,Medium
Yes,19,7,Outdated,1,Yes,Critical
Yes,26,4,Outdated,1,Yes,Critical
Yes,6,3,Updated,0,Yes,High
No,4,0,Outdated,0,Yes,Low
Yes,12,0,Updated,0,Yes,Medium
Yes,29,5,Outdated,1,No,Critical
Yes,26,7,Outdated,1,Yes,Critical
No,19,5,Outdated,1,Yes,Critical
Yes,5,6,Outdated,0,Yes,High
Yes,6,4,Outdated,1,No,Medium
Yes,22,3,Outdated,1,No,Critical
Yes,14,6,Outdated,1,Yes,Critical
No,11,1,Updated,0,No,Medium
No,6,3,Outdated,1,Yes,High
No,7,3,Outdated,1,No,Medium
No,6,1,Updated,0,No,Low
Yes,5,0,Updated,0,Yes,Medium
Yes,27,5,Outdated,1,No,Critical
Yes,0,2,Updated,1,No,Low
Yes,1,1,Outdated,0,No,Low
Yes,23,8,Outdated,1,Yes,Critical
No,1,0,Updated,0,No,Low
Yes,6,4,Updated,0,Yes,Medium
Yes,17,6,Outdated,1,No,High
Yes,16,8,Outdated,1,No,Critical
No,2,2,Updated,0,No,Medium
No,5,0,Updated,0,No,Medium
Yes,19,3,Outdated,1,No,High
Yes,13,10,Outdated,1,No,Critical
Yes,8,2,Updated,0,Yes,Low
Yes,12,4,Updated,1,Yes,High
Yes,0,1,Updated,0,No,Low
Yes,7,1,Outdated,1,No,High
No,4,0,Outdated,0,No,Low
Yes,6,2,Outdated,1,Yes,High
No,6,0,Outdated,0,Yes,Medium
Yes,16,5,Outdated,1,Yes,Critical
Yes,11,3,Updated,0,Yes,Medium
No,5,1,Updated,1,No,Low
No,7,2,Updated,1,No,Low
Yes,7,3,Updated,1,Yes,High
Yes,6,0,Outdated,0,Yes,Medium
Yes,7,2,Updated,0,Yes,Low
Yes,7,1,Updated,1,Yes,Medium
Yes,8,0,Updated,1,No,Low
Yes,4,3,Updated,0,Yes,Medium
Yes,6,0,Updated,0,No,Low
Yes,18,7,Outdated,1,Yes,Critical
No,7,1,Updated,1,Yes,High
Yes,23,5,Outdated,1,Yes,Critical
Yes,4,3,Updated,1,Yes,High
No,1,0,Outdated,0,Yes,Low
No,8,0,Outdated,0,Yes,Low
No,2,0,Updated,1,Yes,Medium
Yes,15,3,Outdated,1,Yes,High
Yes,4,2,Updated,0,No,Low
Yes,10,5,Outdated,1,No,Critical
No,12,9,Outdated,1,Yes,Critical
Yes,12,0,Updated,1,No,Medium
No,4,3,Updated,0,No,Medium
No,6,2,Updated,0,No,Low
No,6,2,Outdated,0,No,Medium
No,4,0,Updated,1,Yes,Low
Yes,13,4,Outdated,1,No,Critical
Yes,18,8,Outdated,1,Yes,Critical
Yes,17,2,Outdated,0,Yes,High
Yes,11,4,Outdated,1,No,Medium
No,9,2,Outdated,0,Yes,Medium
Yes,12,1,Outdated,0,No,High
No,8,3,Updated,1,No,Medium
No,4,3,Updated,1,No,Medium
Yes,13,6,Outdated,1,Yes,Critical
Yes,7,0,Outdated,0,No,Low
Yes,0,1,Updated,0,Yes,Low
Yes,20,5,Outdated,1,Yes,Critical
No,5,0,Updated,1,No,Low
No,4,2,Outdated,0,No,Medium
Yes,26,3,Outdated,1,Yes,Critical
No,1,0,Updated,1,No,Low
Yes,10,1,Outdated,0,Yes,Medium
No,4,3,Outdated,0,No,Medium
No,4,5,Outdated,1,Yes,High
No,2,0,Outdated,0,Yes,Medium
No,7,0,Outdated,0,No,Low
Yes,17,4,Outdated,1,No,Critical
Yes,26,9,Outdated,1,Yes,Critical
Yes,11,9,Outdated,1,Yes,Critical
No,5,0,Outdated,0,Yes,Medium
No,9,4,Outdated,1,Yes,High
No,8,3,Outdated,1,Yes,High
No,3,0,Updated,0,No,Low
Yes,2,2,Updated,1,No,Low
Yes,5,1,Outdated,0,Yes,Low
Yes,16,9,Outdated,1,Yes,Critical
Yes,14,6,Outdated,0,No,High
Yes,26,6,Outdated,1,Yes,Critical
Yes,28,10,Outdated,1,Yes,Critical
Yes,7,2,Outdated,0,No,Low
Yes,2,0,Outdated,0,Yes,Medium
Yes,8,2,Updated,0,No,High
Yes,14,4,Updated,1,Yes,High
Yes,18,6,Updated,1,Yes,High
No,4,2,Updated,0,No,Low
No,0,0,Updated,0,Yes,Low
No,9,2,Updated,0,Yes,Medium
No,9,0,Outdated,0,No,Medium
Yes,8,4,Outdated,0,Yes,High
Yes,15,6,Outdated,1,Yes,Critical
No,7,2,Updated,0,Yes,Low
No,3,0,Updated,0,Yes,Low
Yes,10,5,Updated,0,No,High
Yes,17,6,Updated,1,Yes,High
No,4,2,Outdated,0,No,Low
No,3,0,Updated,1,No,Medium
Yes,15,10,Outdated,1,Yes,Critical
Yes,19,6,Outdated,0,Yes,High
Yes,8,4,Outdated,0,No,High
No,18,5,Updated,1,Yes,High
Yes,17,10,Outdated,1,No,Critical
Yes,9,1,Outdated,1,Yes,High
Yes,24,9,Outdated,1,No,Critical
No,7,2,Updated,0,No,Low
No,29,5,Outdated,1,Yes,Critical
Yes,3,0,Updated,0,No,Low
Yes,25,7,Outdated,1,Yes,Critical
Yes,2,2,Outdated,1,No,Low
No,5,0,Updated,0,No,Low
Yes,5,1,Updated,1,Yes,High
No,0,2,Updated,1,No,Low
Yes,24,4,Outdated,1,No,Critical
Yes,19,9,Outdated,1,Yes,Critical
Yes,5,4,Updated,1,Yes,High
Yes,22,9,Outdated,1,No,Critical
Yes,5,1,Updated,0,Yes,Medium
Yes,7,4,Updated,0,No,Medium
Yes,8,3,Outdated,0,Yes,High
Yes,12,5,Outdated,1,Yes,Critical
Yes,4,0,Outdated,0,No,Low
No,7,1,Updated,0,No,Low
No,13,7,Outdated,1,Yes,Critical
No,4,1,Updated,1,No,Medium
Yes,21,8,Outdated,1,Yes,Critical
Yes,12,0,Updated,0,No,Medium
Yes,6,0,Updated,0,Yes,Low
No,7,0,Updated,1,No,Low
Yes,23,7,Outdated,1,No,Critical
No,4,4,Outdated,0,Yes,Medium
Yes,3,4,Updated,0,No,Medium
Yes,29,4,Outdated,1,Yes,Critical
Yes,25,10,Outdated,1,Yes,Critical
No,5,2,Updated,1,Yes,High
Yes,26,5,Outdated,1,Yes,Critical
Yes,1,0,Updated,1,No,Low
Yes,16,5,Outdated,1,No,Critical
Yes,30,3,Outdated,1,Yes,Critical
No,11,5,Outdated,1,No,High
Yes,8,9,Outdated,1,No,Critical
Yes,14,3,Outdated,1,Yes,Critical
Yes,10,4,Updated,1,No,High
No,24,4,Outdated,1,Yes,Critical
No,3,0,Updated,1,Yes,Low
Yes,15,5,Outdated,1,Yes,Critical
No,8,1,Updated,0,Yes,Low
Yes,20,3,Outdated,1,Yes,Critical
No,9,5,Outdated,1,Yes,Critical
Yes,16,7,Outdated,1,Yes,Critical
No,3,0,Updated,1,No,Low
No,3,2,Updated,0,Yes,Low
Yes,18,1,Outdated,0,Yes,High
No,3,2,Outdated,0,No,Low
Yes,10,4,Outdated,0,No,Medium
Yes,5,2,Updated,0,No,Medium
Yes,20,7,Outdated,1,Yes,Critical
Yes,18,3,Outdated,0,No,High
Yes,26,6,Outdated,1,No,Critical
Yes,20,2,Outdated,1,Yes,High
No,3,1,Outdated,0,No,Low
Yes,8,2,Updated,0,No,Low
No,0,1,Updated,1,No,Low
No,11,1,Updated,0,Yes,Medium
Yes,24,7,Outdated,1,No,Critical
Yes,2,1,Updated,0,Yes,Low
Yes,4,1,Outdated,1,Yes,High
Yes,21,8,Outdated,1,No,Critical
Yes,16,4,Outdated,1,Yes,Critical
No,3,2,Updated,1,No,Low
Yes,27,7,Outdated,1,Yes,Critical
Yes,3,1,Updated,0,No,Low
Yes,3,1,Updated,0,Yes,Medium
Yes,9,2,Updated,1,Yes,High
Yes,7,0,Updated,0,No,Medium
No,8,4,Updated,0,Yes,Medium
Yes,13,2,Outdated,0,Yes,High
